rank,attr,label,type,nominal,S_mean,dW_minus10_pct,dW_plus10_pct,dW_plus20_pct,failed
1,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.454854,5.081857,-3.877394,-6.939678,False
2,BATTERY_EFF,η_bat,param,0.85,0.454854,5.081857,-3.877394,-6.939678,False
3,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.417055,-3.991710,4.338468,9.070960,False
4,ETA_HOVER,η_hover,param,0.65,0.409014,4.517226,-3.568165,-6.466782,False
5,RHO_AIR,ρ_air,input,1.225,0.200653,2.160917,-1.827722,-3.400019,False
6,K_WING_B,k_wing_B,model,2.2854,0.168796,-1.717024,1.656225,3.260927,False
7,K_ESC,k_ESC,model,0.0003594,0.151204,-1.502153,1.521626,3.063909,False
8,T_HOVER,t_hover,input,60.0,0.139223,-1.383859,1.400369,2.818173,False
9,CL_MAX,CL_MAX (cruise CL),param,0.6,0.134256,1.504938,-1.152176,-2.038840,False
10,K_MOTOR,k_motor,model,0.0002506,0.105418,-1.049395,1.058863,2.127595,False
11,AR_FIXED,AR,input,8.0,0.086521,0.950421,-0.763762,-1.390932,False
12,E_OSWALD,e_Oswald,param,0.8,0.086521,0.950421,-0.763762,-1.390932,False
13,CD0_WING,CD0_wing,param,0.01,0.047303,-0.470677,0.475375,0.955518,False
14,CD0_ROTOR,CD0_rotor,param,0.012,0.046168,-0.464102,0.459195,0.913708,False
15,SIGMA,σ (solidity),param,0.13,0.046168,-0.464102,0.459195,0.913708,False
16,K_ROTOR_A,k_rotor_A,model,0.7484,0.034062,-0.342141,0.339051,0.675166,False
17,K_WING_A,k_wing_A,model,-0.0802,0.023561,-0.235609,0.235610,0.471221,False
18,K_ROTOR_B,k_rotor_B,model,0.0403,0.009319,0.093185,-0.093200,-0.186414,False
19,DL_MAX,DL_MAX (disk loading),param,250.0,0.000000,-0.000000,-0.000000,-0.000000,False
20,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,-0.000000,-0.000000,False
21,BL_MAX,BL_MAX (blade loading),param,0.14,0.000000,0.000000,0.000000,0.000000,False
