rank,attr,label,type,nominal,S_mean,dW_minus10_pct,dW_plus10_pct,dW_plus20_pct,failed
1,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.361838,-3.484073,3.745533,7.783136,False
2,ETA_HOVER,η_hover,param,0.65,0.360002,3.970650,-3.149083,-5.714892,False
3,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.345689,3.836463,-2.989937,-5.388886,False
4,BATTERY_EFF,η_bat,param,0.85,0.345689,3.836463,-2.989937,-5.388886,False
5,T_HOVER,t_hover,input,60.0,0.217196,-2.151068,2.191848,4.428418,False
6,RHO_AIR,ρ_air,input,1.225,0.177629,1.911709,-1.619711,-3.015019,False
7,K_WING_B,k_wing_B,model,2.2854,0.100193,-1.021995,0.980189,1.924362,False
8,CL_MAX,CL_MAX (cruise CL),param,0.6,0.096022,1.039795,-0.868532,-1.604714,False
9,K_ROTOR_A,k_rotor_A,model,0.7484,0.082550,-0.834266,0.816211,1.616266,False
10,K_ESC,k_ESC,model,0.0003594,0.078589,-0.783199,0.788544,1.582621,False
11,K_MOTOR,k_motor,model,0.0002506,0.054796,-0.546656,0.549255,1.101173,False
12,CD0_ROTOR,CD0_rotor,param,0.012,0.027799,-0.279620,0.276333,0.549517,False
13,SIGMA,σ (solidity),param,0.13,0.027799,-0.279620,0.276333,0.549517,False
14,K_WING_A,k_wing_A,model,-0.0802,0.023622,-0.236219,0.236221,0.472443,False
15,K_ROTOR_B,k_rotor_B,model,0.0403,0.014522,0.145206,-0.145242,-0.290520,False
16,AR_FIXED,AR,input,8.0,0.012353,0.134947,-0.110113,-0.201670,False
17,E_OSWALD,e_Oswald,param,0.8,0.012353,0.134947,-0.110113,-0.201670,False
18,CD0_WING,CD0_wing,param,0.01,0.006773,-0.067680,0.067781,0.135664,False
19,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,False
20,DL_MAX,DL_MAX (disk loading),param,250.0,0.000000,0.000000,0.000000,0.000000,False
21,BL_MAX,BL_MAX (blade loading),param,0.14,0.000000,0.000000,0.000000,0.000000,False
