rank,attr,label,type,nominal,S_mean,dW_minus10_pct,dW_plus10_pct,dW_plus20_pct,failed
1,BATTERY_EFF,η_bat,param,0.85,0.953150,10.930788,-7.579935,-13.152825,False
2,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.953150,10.930788,-7.579935,-13.152825,False
3,ETA_HOVER,η_hover,param,0.65,0.736784,8.302447,-6.152828,-10.909427,False
4,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.554789,-5.229045,5.840931,12.407941,False
5,T_HOVER,t_hover,input,60.0,0.436160,-4.228092,4.487722,9.266340,False
6,RHO_AIR,ρ_air,input,1.225,0.358164,3.903641,-3.199297,-5.879589,False
7,K_WING_B,k_wing_B,model,2.2854,0.285328,-2.868137,2.835243,5.648808,False
8,CL_MAX,CL_MAX (cruise CL),param,0.6,0.241625,2.698457,-2.079211,-3.705659,False
9,K_ESC,k_ESC,model,0.0003594,0.157622,-1.559051,1.593042,3.221498,False
10,E_OSWALD,e_Oswald,param,0.8,0.114629,1.261585,-1.008343,-1.832735,False
11,AR_FIXED,AR,input,8.0,0.114629,1.261585,-1.008343,-1.832735,False
12,K_MOTOR,k_motor,model,0.0002506,0.109891,-1.090589,1.107114,2.231233,False
13,CD0_ROTOR,CD0_rotor,param,0.012,0.078322,-0.784677,0.781693,1.560665,False
14,SIGMA,σ (solidity),param,0.13,0.078322,-0.784677,0.781693,1.560665,False
15,K_ROTOR_A,k_rotor_A,model,0.7484,0.073271,-0.734247,0.731086,1.459373,False
16,CD0_WING,CD0_wing,param,0.01,0.062604,-0.621977,0.630064,1.268371,False
17,K_WING_A,k_wing_A,model,-0.0802,0.023612,-0.236120,0.236122,0.472246,False
18,K_ROTOR_B,k_rotor_B,model,0.0403,0.013683,0.136863,-0.136798,-0.273530,False
19,KAPPA_MAX,κ_max,param,1.15,0.000000,-0.000000,0.000000,-0.000000,False
20,DL_MAX,DL_MAX (disk loading),param,250.0,0.000000,0.000000,0.000000,0.000000,False
21,BL_MAX,BL_MAX (blade loading),param,0.14,0.000000,0.000000,0.000000,0.000000,False
