range_km_roundtrip,baseline_mt,RHO_AIR_minus10_mt,RHO_AIR_plus10_mt,T_HOVER_minus10_mt,T_HOVER_plus10_mt,BETA_QBIT_minus10_mt,BETA_QBIT_plus10_mt,ETA_HOVER_minus10_mt,ETA_HOVER_plus10_mt,CD0_WING_minus10_mt,CD0_WING_plus10_mt,E_OSWALD_minus10_mt,E_OSWALD_plus10_mt,AR_FIXED_minus10_mt,AR_FIXED_plus10_mt,SIGMA_minus10_mt,SIGMA_plus10_mt,CD0_ROTOR_minus10_mt,CD0_ROTOR_plus10_mt,KAPPA_MAX_minus10_mt,KAPPA_MAX_plus10_mt,BATTERY_DENSITY_minus10_mt,BATTERY_DENSITY_plus10_mt,BATTERY_EFF_minus10_mt,BATTERY_EFF_plus10_mt,K_MOTOR_minus10_mt,K_MOTOR_plus10_mt,K_ESC_minus10_mt,K_ESC_plus10_mt,K_ROTOR_A_minus10_mt,K_ROTOR_A_plus10_mt,K_ROTOR_B_minus10_mt,K_ROTOR_B_plus10_mt,K_WING_A_minus10_mt,K_WING_A_plus10_mt,K_WING_B_minus10_mt,K_WING_B_plus10_mt
10,6.8092901108095125,6.939463908984639,6.698999273474036,6.662817661998111,6.958539386404456,6.572049477386745,7.064334330674491,7.079663170198789,6.594859934115764,6.80468156341435,6.813905545710923,6.8184790185287385,6.801792194175184,6.8184790185287385,6.801792194175184,6.790249955103494,6.828106430997696,6.790249955103494,6.828106430997696,6.8092901108095125,6.8092901108095125,7.070526018638651,6.605696610033565,7.070526018638649,6.605696610033565,6.772066691885148,6.846690486846191,6.755959834495527,6.862984349160872,6.7524824951795095,6.864868260950102,6.819177628090524,6.7994001811709515,6.825375050207804,6.793205307024734,6.739699476006778,6.876034001869212
20,7.549388466777401,7.7250772880015806,7.401510407845222,7.353190810894206,7.750928330670038,7.258952175246963,7.864079760654771,7.9160231732065895,7.262480903842481,7.538048714901873,7.560764737156269,7.5720569428000415,7.5309490968800334,7.5720569428000415,7.5309490968800334,7.519284195992409,7.579185018927997,7.519284195992409,7.579185018927997,7.549388466777401,7.549388466777401,7.941147156691779,7.2511154007399625,7.941147156691771,7.2511154007399625,7.499379896113716,7.599737378140864,7.477772266198008,7.621704688347395,7.491298667477708,7.606592017588075,7.559933895706725,7.538842929296127,7.567216765726293,7.531560312810814,7.43923706321202,7.65565971710205
30,8.236178956128363,8.459313122466625,8.049549229220055,7.988799656206549,8.492275294568435,7.891743762407103,8.612110162299496,8.703926857183614,7.874829064271166,8.215922479267443,8.256540898717606,8.276792339340325,8.203260588583827,8.276792339340325,8.203260588583827,8.195070415811138,8.276929121531712,8.195070415811138,8.276929121531712,8.236178956128363,8.236178956128363,8.77091739072033,7.837915257997762,8.77091739072064,7.837915257997762,8.172945214712854,8.299967916853651,8.14566139752349,8.327838521644574,8.175186654091629,8.296479611224163,8.24747720824353,8.224882401383766,8.255626715232975,8.216731352591163,8.085702548084825,8.382191844901989
40,8.92581955715595,9.201601196925171,8.696632682084887,8.622318172764468,9.242505039214512,8.522721248017579,9.369015602319463,9.506580735884647,8.48300617251181,8.894089183420666,8.957787089841672,8.989652925915891,8.87429136422075,8.989652925915891,8.87429136422075,8.872830834687527,8.978428167674908,8.872830834687527,8.978428167674908,8.925819557156752,8.925819557156004,9.62634482216895,8.415636674499986,9.626344822168836,8.415636674499986,8.848016703652581,9.00446197067893,8.814494209621099,9.038871786714864,8.860784129949742,8.990302354231453,8.937974318060528,8.913668159962752,8.946894677762703,8.90474460416889,8.7318722031988,9.11512167567761
50,9.644885348247653,9.980925369728475,9.367492948169073,9.277909317672398,10.030977936011734,9.175933233387692,10.164446735245479,10.355940759181198,9.110126938126264,9.598571720376034,9.691664760113952,9.738415304076472,9.569734575813621,9.738415304076472,9.569734575813621,9.578552796915174,9.710849944835617,9.578552796915174,9.710849944835617,9.644885348247453,9.644885348247431,10.543013095365424,9.006044650358866,10.543013095364804,9.006044650358866,9.550528500080807,9.740459248194899,9.509933625045102,9.782340454534872,9.574726866481509,9.714606612755267,9.658016783916247,9.631758957753659,9.667658247019606,9.622112630685212,9.402216423011163,9.883202760889779
60,10.412468632405522,10.818934010177841,10.079342843557622,9.972219896888847,10.879751277533192,9.867996008600155,11.020653729203476,11.276958326829519,9.771807336139165,10.34770547363417,10.478073798721505,10.543830756838233,10.307475274336978,10.543830756838233,10.307475274336978,10.33076436284687,10.493862147947606,10.33076436284687,10.493862147947606,10.412468632384194,10.412468632408325,11.550633484248369,9.62321023841998,11.5506334842485,9.62321023841998,10.298911350329673,10.527746558521528,10.250132943574679,10.578343624142885,10.336015389122815,10.488592738507476,10.426719489624391,10.398224618484273,10.437054765103357,10.3878826965425,10.113824748364328,10.707687432033143
