range_km_roundtrip,baseline_mt,RHO_AIR_minus10_mt,RHO_AIR_plus10_mt,T_HOVER_minus10_mt,T_HOVER_plus10_mt,BETA_QBIT_minus10_mt,BETA_QBIT_plus10_mt,ETA_HOVER_minus10_mt,ETA_HOVER_plus10_mt,CD0_WING_minus10_mt,CD0_WING_plus10_mt,E_OSWALD_minus10_mt,E_OSWALD_plus10_mt,AR_FIXED_minus10_mt,AR_FIXED_plus10_mt,SIGMA_minus10_mt,SIGMA_plus10_mt,CD0_ROTOR_minus10_mt,CD0_ROTOR_plus10_mt,KAPPA_MAX_minus10_mt,KAPPA_MAX_plus10_mt,BATTERY_DENSITY_minus10_mt,BATTERY_DENSITY_plus10_mt,BATTERY_EFF_minus10_mt,BATTERY_EFF_plus10_mt,K_MOTOR_minus10_mt,K_MOTOR_plus10_mt,K_ESC_minus10_mt,K_ESC_plus10_mt,K_ROTOR_A_minus10_mt,K_ROTOR_A_plus10_mt,K_ROTOR_B_minus10_mt,K_ROTOR_B_plus10_mt,K_WING_A_minus10_mt,K_WING_A_plus10_mt,K_WING_B_minus10_mt,K_WING_B_plus10_mt
10,5.870976035523869,5.940868743665831,5.810942472804492,5.8255998696252105,5.916402265319233,5.694073097166412,6.059239461289193,6.015059594169379,5.753514660957586,5.867552965606447,5.8744036746575,5.877799610699174,5.865406563962671,5.877799610699174,5.865406563962671,5.859603732453973,5.882190505927625,5.859603732453973,5.882190505927625,5.870976035523869,5.870976035523869,5.977970380609133,5.784440386489943,5.9779703806091335,5.784440386489943,5.836611367583859,5.905369437951314,5.821698445479684,5.9203126497124225,5.843585499485411,5.897673781879481,5.877337140403282,5.864608736518509,5.884819119901605,5.857133037795384,5.829230326335619,5.910710175235691
20,6.318536576560489,6.40817325825157,6.241791698407641,6.260508287061303,6.376759712050925,6.114169851940009,6.537056591624091,6.503866464943612,6.168443100174693,6.310595109113379,6.326500033967063,6.334401094688278,6.3056212809738,6.334401094688278,6.3056212809738,6.301772470112566,6.335077718203615,6.301772470112566,6.335077718203615,6.318536576560489,6.318536576560489,6.476813955264372,6.1920474676528405,6.47681395526437,6.1920474676528405,6.2745781614654215,6.362606751895991,6.255525094006481,6.3817778408571595,6.292685527832077,6.343904823835099,6.324958694444813,6.312110089072486,6.333429970171166,6.30364327066472,6.256812038907221,6.377431465870432
30,6.714538278864599,6.822983575002305,6.621973288855669,6.644524121318555,6.784937681818051,6.4842604878091015,6.961796157973167,6.939375210362192,6.533584731219874,6.701071204981675,6.728063838887727,6.741504440572939,6.692647359780063,6.741504440572939,6.692647359780063,6.692949201923402,6.735853957460169,6.692949201923402,6.735853957460169,6.714538278864599,6.714538278864599,6.924987074258341,6.54826360982376,6.924987074258387,6.54826360982376,6.661486489023305,6.767811009937489,6.638518573939354,6.791012328334239,6.689083842769289,6.739612865845681,6.721114078981803,6.707959230302545,6.730362158973856,6.698714488701274,6.634891391135547,6.790731864053736
40,7.095157088967041,7.222832402787568,6.986505526403438,7.012947724428028,7.177992716946138,6.838560228785604,7.371786188870712,7.360582464303145,6.882849501198099,7.075090326189118,7.1153455105455,7.135441462669607,7.062555678101729,7.135441462669607,7.062555678101729,7.068805647610172,7.121192418333058,7.068805647610172,7.121192418333058,7.095157088964011,7.095157088965205,7.361974814882855,6.8867265430596785,7.361974814882755,6.8867265430596785,7.032848845358154,7.157824478217694,7.005904123182576,7.185148665814714,7.06955151532316,7.120445495288109,7.101941283723045,7.088370471542745,7.111876023764861,7.078438247117238,6.997808738754669,7.18853415398781
50,7.475104635344714,7.623102671189717,7.34953912362352,7.380065508754894,7.571070379263736,7.19086165971223,7.782773200719881,7.78362103112873,7.229856106560774,7.447244384208125,7.503186038264798,7.531190996785921,7.429867765319251,7.531190996785921,7.429867765319251,7.443833496002239,7.506022421801845,7.443833496002239,7.506022421801845,7.475104635344558,7.475104635344734,7.8044053884534765,7.220824756229189,7.804405388453473,7.220824756229189,7.4030541086300214,7.547686533464432,7.371931957712644,7.579370176232539,7.448990805003767,7.500944056913782,7.482140419058713,7.468067103172828,7.492717558279723,7.457491808920318,7.359476244310529,7.586321682095952
60,7.862848978085165,8.032758588563997,7.7191379260876305,7.754038252641786,7.9729578908062075,7.548986819166341,8.203976153068538,8.218031607775542,7.582289588987333,7.825840327931797,7.9002270158079035,7.937579125485021,7.802795536116081,7.937579125485021,7.802795536116081,7.826357353263715,7.8989548216690455,7.826357353263715,7.8989548216690455,7.862848978085167,7.862848978083508,8.262427694495647,7.557975343103576,8.262427694495642,7.557975343103576,7.780336611598437,7.946105774169589,7.74473694694956,7.982492123325328,7.835946974685669,7.889508017016746,7.870175967549347,7.855520831282446,7.8813746392154345,7.844323417526708,7.727841958242037,7.9930754396815304
