rank,attr,label,type,nominal,mu_star,sigma,sigma_over_mu_star,n_ee,decision
1,T_HOVER,t_hover,input,60.0,0.472906,0.128957,0.2727,15,KEEP
2,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.274772,0.136683,0.4974,15,KEEP
3,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.182694,0.040860,0.2237,15,KEEP
4,BATTERY_EFF,η_bat,param,0.85,0.153406,0.065342,0.4259,15,KEEP
5,ETA_HOVER,η_hover,param,0.65,0.152539,0.094246,0.6178,15,KEEP
6,RHO_AIR,ρ_air,input,1.225,0.076949,0.044954,0.5842,15,marginal
7,CL_MAX,CL_MAX (cruise CL),param,1.0,0.058761,0.026326,0.4480,15,marginal
8,K_WING_B,k_wing_B,model,2.2854,0.057682,0.019920,0.3453,15,marginal
9,DL_MAX,DL_MAX (disk load.),param,55.0,0.051674,0.025541,0.4943,15,marginal
10,AR_FIXED,AR,input,8.0,0.047586,0.012658,0.2660,15,marginal
11,K_ROTOR_A,k_rotor_A,model,0.7484,0.038269,0.009320,0.2435,15,marginal
12,E_OSWALD,e_Oswald,param,0.8,0.031311,0.011293,0.3607,15,marginal
13,K_ESC,k_ESC,model,0.0003594,0.030577,0.010388,0.3397,15,marginal
14,CD0_ROTOR,CD0_rotor,param,0.012,0.028938,0.010040,0.3469,15,marginal
15,K_MOTOR,k_motor,model,0.0002506,0.022187,0.008153,0.3675,15,marginal
16,SIGMA,σ (solidity),param,0.13,0.018441,0.005678,0.3079,15,FREEZE
17,CD0_WING,CD0_wing,param,0.01,0.008360,0.003897,0.4662,15,FREEZE
18,K_WING_A,k_wing_A,model,-0.0802,0.007815,0.000946,0.1211,15,FREEZE
19,K_ROTOR_B,k_rotor_B,model,0.0403,0.005432,0.001175,0.2163,15,FREEZE
20,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.0000,15,FREEZE
21,BL_MAX,BL_MAX (blade load.),param,80.0,0.000000,0.000000,0.0000,15,FREEZE
