rank,attr,label,type,nominal,mu_star,sigma,sigma_over_mu_star,n_ee,decision
1,T_HOVER,t_hover,input,60.0,0.807651,0.203712,0.2522,15,KEEP
2,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.297249,0.211389,0.7112,15,KEEP
3,ETA_HOVER,η_hover,param,0.65,0.214962,0.148015,0.6886,15,KEEP
4,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.184140,0.065017,0.3531,15,KEEP
5,BATTERY_EFF,η_bat,param,0.85,0.147576,0.104272,0.7066,15,KEEP
6,RHO_AIR,ρ_air,input,1.225,0.109446,0.075448,0.6894,15,KEEP
7,CL_MAX,CL_MAX (cruise CL),param,1.0,0.060449,0.030165,0.4990,15,marginal
8,K_ROTOR_A,k_rotor_A,model,0.7484,0.059036,0.030731,0.5205,15,marginal
9,K_WING_B,k_wing_B,model,2.2854,0.038801,0.021107,0.5440,15,marginal
10,K_ESC,k_ESC,model,0.0003594,0.025784,0.008754,0.3395,15,marginal
11,CD0_ROTOR,CD0_rotor,param,0.012,0.022149,0.012743,0.5753,15,marginal
12,K_MOTOR,k_motor,model,0.0002506,0.019543,0.008188,0.4190,15,FREEZE
13,AR_FIXED,AR,input,8.0,0.016116,0.006041,0.3748,15,FREEZE
14,SIGMA,σ (solidity),param,0.13,0.011995,0.008133,0.6780,15,FREEZE
15,E_OSWALD,e_Oswald,param,0.8,0.010087,0.005044,0.5000,15,FREEZE
16,DL_MAX,DL_MAX (disk load.),param,55.0,0.008851,0.007708,0.8709,15,FREEZE
17,K_WING_A,k_wing_A,model,-0.0802,0.008031,0.001372,0.1708,15,FREEZE
18,K_ROTOR_B,k_rotor_B,model,0.0403,0.006409,0.003094,0.4827,15,FREEZE
19,CD0_WING,CD0_wing,param,0.01,0.002673,0.001702,0.6366,15,FREEZE
20,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.0000,15,FREEZE
21,BL_MAX,BL_MAX (blade load.),param,80.0,0.000000,0.000000,0.0000,15,FREEZE
