rank,attr,label,type,nominal,S_mean,dW_minus20_pct,dW_minus10_pct,dW_minus5_pct,dW_plus5_pct,dW_plus10_pct,dW_plus20_pct,failed,tipping_frac,tipping_constraint,tipping_margin_pct
1,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,4.098458,-357.397373,21.461795,8.041892,-5.699041,-10.056705,-16.416857,True,-0.161719,blade_loading,-3395.549
2,ETA_HOVER,η_hover,param,0.65,2.448787,-170.418166,20.325034,7.429340,-5.139236,-8.997906,-14.516069,True,-0.175000,blade_loading,-2594.346
3,BATTERY_EFF,η_bat,param,0.85,1.979970,-103.178869,21.461795,8.041892,-5.699041,-10.056705,-16.416857,True,-0.184375,cruise_CL,-3.738
4,T_HOVER,t_hover,input,60.0,0.807705,-11.522845,-6.463502,-3.454237,4.057967,8.990340,24.445286,True,-0.200000,cruise_CL,-19.578
5,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.725669,-11.516018,-6.299336,-3.312253,3.718682,7.962999,18.915850,True,-0.200000,cruise_CL,-19.587
6,RHO_AIR,ρ_air,input,1.225,0.501732,21.174235,5.823491,2.397622,-1.745479,-3.041527,-4.731217,True,-0.200000,cruise_CL,-104.710
7,K_ESC,k_ESC,model,0.0003594,0.271778,-4.850437,-2.550778,-1.310212,1.388357,2.865099,6.136838,True,-0.200000,cruise_CL,-28.596
8,E_OSWALD,e_Oswald,param,0.8,0.201582,5.581250,2.274233,1.042506,-0.895304,-1.673487,-2.961874,True,-0.200000,cruise_CL,-42.694
9,AR_FIXED,AR,input,8.0,0.201582,5.581250,2.274233,1.042506,-0.895304,-1.673487,-2.961874,True,-0.200000,cruise_CL,-42.694
10,K_MOTOR,k_motor,model,0.0002506,0.188692,-3.485259,-1.807568,-0.921287,0.959244,1.959806,4.100892,True,-0.200000,cruise_CL,-30.441
11,K_WING_B,k_wing_B,model,2.2854,0.161225,-3.158584,-1.595191,-0.801681,0.810087,1.628825,3.293309,True,-0.200000,cruise_CL,-30.882
12,CD0_ROTOR,CD0_rotor,param,0.012,0.090221,-1.784705,-0.897190,-0.449822,0.452315,0.907160,1.824602,True,-0.200000,cruise_CL,-32.739
13,SIGMA,σ (solidity),param,0.13,0.090221,-1.784705,-0.897190,-0.449822,0.452315,0.907160,1.824602,True,-0.200000,cruise_CL,-32.739
14,CD0_WING,CD0_wing,param,0.01,0.058898,-1.168430,-0.586564,-0.293875,0.295075,0.591363,1.187628,True,-0.200000,cruise_CL,-33.572
15,K_ROTOR_A,k_rotor_A,model,0.7484,0.051091,-1.015105,-0.509211,-0.255024,0.255869,0.512590,1.028620,True,-0.200000,cruise_CL,-33.779
16,K_WING_A,k_wing_A,model,-0.0802,0.028279,-0.563522,-0.282274,-0.141265,0.141524,0.283309,0.567663,True,-0.200000,cruise_CL,-34.389
17,K_ROTOR_B,k_rotor_B,model,0.0403,0.012505,0.250502,0.125149,0.062549,-0.062499,-0.124947,-0.249692,True,-0.200000,cruise_CL,-35.490
18,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True,-0.200000,cruise_CL,-35.151
19,DL_MAX,DL_MAX (disk loading),param,250.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True,-0.200000,cruise_CL,-35.151
20,BL_MAX,BL_MAX (blade loading),param,0.14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True,-0.200000,cruise_CL,-35.151
21,CL_MAX,CL_MAX (cruise CL),param,0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True,-0.200000,cruise_CL,-68.939
