rank,attr,label,type,nominal,S_mean,dW_minus10_pct,dW_plus10_pct,dW_plus20_pct,failed
1,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.311220,-3.013178,3.206680,6.626135,False
2,ETA_HOVER,η_hover,param,0.65,0.224693,2.454167,-2.000713,-3.667828,False
3,BATTERY_EFF,η_bat,param,0.85,0.166348,1.822429,-1.473957,-2.693176,False
4,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.166348,1.822429,-1.473957,-2.693176,False
5,RHO_AIR,ρ_air,input,1.225,0.111218,1.190479,-1.022548,-1.913862,False
6,K_ESC,k_ESC,model,0.0003594,0.083990,-0.839342,0.840348,1.682110,False
7,T_HOVER,t_hover,input,60.0,0.077336,-0.772890,0.773742,1.548658,False
8,K_WING_B,k_wing_B,model,2.2854,0.069459,-0.711052,0.676789,1.323997,False
9,CL_MAX,CL_MAX (cruise CL),param,0.6,0.065592,0.709880,-0.594044,-1.097837,False
10,K_MOTOR,k_motor,model,0.0002506,0.058559,-0.585331,0.585821,1.172271,False
11,K_ROTOR_A,k_rotor_A,model,0.7484,0.046079,-0.466541,0.454741,0.898743,False
12,K_WING_A,k_wing_A,model,-0.0802,0.023579,-0.235787,0.235788,0.471578,False
13,CD0_ROTOR,CD0_rotor,param,0.012,0.019237,-0.193704,0.191015,0.379454,False
14,SIGMA,σ (solidity),param,0.13,0.019237,-0.193704,0.191015,0.379454,False
15,K_ROTOR_B,k_rotor_B,model,0.0403,0.010840,0.108348,-0.108454,-0.217014,False
16,E_OSWALD,e_Oswald,param,0.8,0.010640,0.116226,-0.094864,-0.173761,False
17,AR_FIXED,AR,input,8.0,0.010640,0.116226,-0.094864,-0.173761,False
18,CD0_WING,CD0_wing,param,0.01,0.005834,-0.058305,0.058383,0.116844,False
19,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,False
20,DL_MAX,DL_MAX (disk loading),param,250.0,0.000000,0.000000,0.000000,0.000000,False
21,BL_MAX,BL_MAX (blade loading),param,0.14,0.000000,0.000000,0.000000,0.000000,False
