rank,attr,label,type,nominal,mu_star,sigma,sigma_over_mu_star,n_ee,decision
1,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.126440,0.007483,0.0592,15,KEEP
2,ETA_HOVER,η_hover,param,0.65,0.090296,0.020597,0.2281,15,marginal
3,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.084702,0.018015,0.2127,15,marginal
4,BATTERY_EFF,η_bat,param,0.85,0.079084,0.013494,0.1706,15,marginal
5,RHO_AIR,ρ_air,input,1.225,0.045958,0.009696,0.2110,15,marginal
6,T_HOVER,t_hover,input,60.0,0.038595,0.008888,0.2303,15,marginal
7,K_ROTOR_A,k_rotor_A,model,0.7484,0.033810,0.003334,0.0986,15,marginal
8,K_WING_B,k_wing_B,model,2.2854,0.033525,0.005543,0.1653,15,marginal
9,K_ESC,k_ESC,model,0.0003594,0.030827,0.005937,0.1926,15,marginal
10,CL_MAX,CL_MAX (cruise CL),param,1.0,0.027029,0.006259,0.2316,15,marginal
11,DL_MAX,DL_MAX (disk load.),param,55.0,0.023412,0.007412,0.3166,15,marginal
12,K_MOTOR,k_motor,model,0.0002506,0.021494,0.004286,0.1994,15,marginal
13,E_OSWALD,e_Oswald,param,0.8,0.011470,0.002572,0.2242,15,FREEZE
14,AR_FIXED,AR,input,8.0,0.011428,0.002206,0.1930,15,FREEZE
15,K_WING_A,k_wing_A,model,-0.0802,0.009559,0.000414,0.0433,15,FREEZE
16,CD0_ROTOR,CD0_rotor,param,0.012,0.008572,0.001587,0.1851,15,FREEZE
17,SIGMA,σ (solidity),param,0.13,0.008188,0.001081,0.1320,15,FREEZE
18,K_ROTOR_B,k_rotor_B,model,0.0403,0.005931,0.000490,0.0826,15,FREEZE
19,CD0_WING,CD0_wing,param,0.01,0.002107,0.000541,0.2567,15,FREEZE
20,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.0000,15,FREEZE
21,BL_MAX,BL_MAX (blade load.),param,80.0,0.000000,0.000000,0.0000,15,FREEZE
