rank,attr,label,type,nominal,mu_star,sigma,sigma_over_mu_star,n_ee,decision
1,T_HOVER,t_hover,input,60.0,3.087864,1.951715,0.6321,15,KEEP
2,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,1.941684,1.912223,0.9848,15,KEEP
3,ETA_HOVER,η_hover,param,0.65,1.218191,1.279249,1.0501,15,KEEP
4,BATTERY_EFF,η_bat,param,0.85,0.807226,0.936366,1.1600,15,KEEP
5,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.635709,0.534341,0.8405,15,KEEP
6,RHO_AIR,ρ_air,input,1.225,0.549419,0.737606,1.3425,15,KEEP
7,AR_FIXED,AR,input,8.0,0.423486,0.447233,1.0561,15,KEEP
8,CL_MAX,CL_MAX (cruise CL),param,1.0,0.363682,0.398215,1.0950,15,KEEP
9,K_WING_B,k_wing_B,model,2.2854,0.267473,0.312508,1.1684,15,KEEP
10,E_OSWALD,e_Oswald,param,0.8,0.207941,0.276210,1.3283,15,KEEP
11,CD0_ROTOR,CD0_rotor,param,0.012,0.196720,0.251053,1.2762,15,KEEP
12,K_ROTOR_A,k_rotor_A,model,0.7484,0.177112,0.153447,0.8664,15,KEEP
13,K_ESC,k_ESC,model,0.0003594,0.139964,0.198467,1.4180,15,KEEP
14,DL_MAX,DL_MAX (disk load.),param,55.0,0.094180,0.076028,0.8073,15,marginal
15,K_MOTOR,k_motor,model,0.0002506,0.082416,0.110773,1.3441,15,marginal
16,SIGMA,σ (solidity),param,0.13,0.053718,0.053173,0.9899,15,marginal
17,CD0_WING,CD0_wing,param,0.01,0.033109,0.036045,1.0887,15,marginal
18,K_WING_A,k_wing_A,model,-0.0802,0.011900,0.006129,0.5151,15,FREEZE
19,K_ROTOR_B,k_rotor_B,model,0.0403,0.009480,0.007985,0.8423,15,FREEZE
20,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.0000,15,FREEZE
21,BL_MAX,BL_MAX (blade load.),param,80.0,0.000000,0.000000,0.0000,15,FREEZE
